pol_0,pol_1,val_0,val_1
0,0,34716.13403416432,34716.13403416432
0,0,34771.58924590294,34771.58924590294
0,0,34827.433400026435,34827.433400026435
0,0,34883.67027128332,34883.67027128332
0,0,34940.30367825561,34940.30367825561
0,0,34997.33748387142,34997.33748387142
0,0,35054.77559592376,35054.77559592376
0,0,35112.621967597974,35112.621967597974
0,0,35170.88059800649,35170.88059800649
0,0,35229.555532728795,35229.555532728795
0,0,35288.65086436174,35288.65086436174
0,0,35348.1707330748,35348.1707330748
0,0,35408.11932717428,35408.11932717428
0,0,35468.50088367575,35468.50088367575
0,0,35529.31968888101,35529.31968888101
0,0,35590.58007896722,35590.58007896722
0,0,35652.28644058024,35652.28644058024
0,0,35714.443211437305,35714.443211437305
0,0,35777.054880937685,35777.054880937685
0,0,35840.125990781315,35840.125990781315
0,0,35903.661135594324,35903.661135594324
0,1,35967.66496356485,35967.993296077344
0,1,36032.14217708504,36035.63510223196
0,1,36097.097533402986,36103.813249046914
0,1,36162.53584528088,36172.53286938265
0,1,36228.46198166442,36241.79914028506
0,1,36294.88086835837,36311.61728381148
0,1,36361.79748871182,36381.992567886045
0,1,36429.21688431158,36452.93030718151
0,1,36497.14415568458,36524.43586402846
0,1,36565.58446300956,36596.51464934868
0,1,36634.54302683673,36669.172123615324
0,1,36704.02512881658,36742.41379783799
0,1,36774.036112438225,36816.24523457018
0,1,36844.58138377667,36890.672048940694
0,1,36915.666412248545,36965.699909708426
0,1,36987.296731378534,37041.33454033765
0,1,37059.47793957331,37117.581720094604
0,1,37132.21570090731,37194.44728516387
0,1,37205.515745915,37271.937129783924
0,1,37279.38387239479,37350.05720740268
0,1,37353.82594622273,37428.81353184794
0,1,37428.84790217436,37508.212178516376
0,1,37504.455744757666,37588.25928557809
0,1,37580.65554905523,37668.9610551959
0,1,37657.453461576624,37750.32375475836
0,1,37734.85570112084,37832.353718127684
0,1,37812.86855964822,37915.057346898226
0,1,37891.49840316354,37998.44111166802
0,1,37970.75167260836,38082.511553320124
0,1,38050.63488476404,38167.27528431572
0,1,38131.15463316471,38252.738989994206
0,1,38212.31758902222,38338.90942988368
0,1,38294.130502159016,38425.79343901838
0,1,38376.600201953355,38513.39792926442
0,1,38459.733598294864,38601.72989064974
0,1,38543.53768255041,38690.79639270175
0,1,38628.019528540826,38780.60458578965
0,1,38713.18629352817,38871.16170247177
0,1,38799.04521921406,38962.47505884437
0,1,38885.60363274977,39054.5520558983
0,1,38972.86894775439,39147.40018087411
0,1,39060.84866534828,39241.027008623336
0,1,39149.55037519285,39335.440202968486
0,1,39238.98175654533,39430.647518067424
0,1,39329.15057932275,39526.65679977765
0,1,39420.06470517612,39623.475987020545
0,1,39511.73208857855,39721.113113148225
0,1,39604.16077792239,39819.576307309515
0,1,39697.35891662698,39918.873795815016
0,1,39791.33474426138,40019.01390350399
0,1,39886.09659767335,40120.00505510865
0,1,39981.65291213309,40221.85577661924
0,1,40078.01222248767,40324.57469664735
0,1,40175.1831643252,40428.170547789894
0,1,40273.174475152766,40532.65216798927
0,1,40371.99499558315,40638.02850189524
